,Name + autors,Fields,Date,Abstract,Citations,PDF link
214,Machine Learning%3A A Bayesian and Optimization Theodoridis/aaa76e15235d937d093a7063c0be86ed84494dee,Computer Science,10 April 2015,"This tutorial text gives a unifying perspective on machine learning by covering bothprobabilistic and deterministic approaches -which are based on optimization techniques together with the Bayesian inference approach, whose essence liesin the use of a hierarchy of probabilistic models.",270,
215,Efficient Machine Learning for Big Data%3A A Review Al Jarrah Yoo/8bcc25651b62532f639fe713da9d7b67c742d562,"Computer Science, Mathematics",18 March 2015,"This paper reviews the theoretical and experimental data-modeling literature, in large-scale data- intensive fields, relating to: (1) model efficiency, including computational requirements in learning  , and data-intensive areas' structure and design, and introduces (2) new algorithmic approaches with the least memory requirements and processing to minimize computational cost, while maintaining/improving its predictive/classification accuracy and stability.",298,https://arxiv.org/pdf/1503.05296.pdf
216,Man vs. computer%3A Benchmarking machine learning for Stallkamp Schlipsing/c56e758ba18066a8cdc333f15dfdb7ea6af4d283,"Computer Science, Medicine",1 August 2012,"We present a publicly available traffic sign dataset with more than 50,000 images of German road signs in 43 classes.   ",701,https://www.ncbi.nlm.nih.gov/pubmed/22394690
217,Deep Learning Goodfellow Bengio/a4cec122a08216fe8a3bc19b22e78fbaea096256,"Computer Science, Medicine",28 May 2015,"- Machine learning technology powers many aspects of modern society: from web searches to content filtering on social networks to recommendations on e-commerce websites, and it is increasingly present in consumer products such as cameras and smartphones.",14943,https://doi.org/10.1038/nature14539
218,Determinantal Point Processes for Machine Learning Kulesza Taskar/48a17d25d76f9bdf90fdd86d2b3e2739e5bb8016,"Computer Science, Mathematics",25 July 2012,Determinantal point processes are elegant probabilistic models of repulsion that arise in quantum physics and random matrix theory.   ,611,https://arxiv.org/pdf/1207.6083.pdf
219,Challenges in representation learning%3A A report on Goodfellow Erhan/db8c3cfaae04a14c1209d62953029b6fa53e23c7,"Computer Science, Mathematics",1 July 2013,   ,509,https://www.ncbi.nlm.nih.gov/pubmed/25613956
220,PuDianNao%3A A Polyvalent Machine Learning Liu Chen/68837728232463651283edbb7ef0c93b2f502b2b,Computer Science,14 March 2015,"We present an ML accelerator called PuDianNao, which accommodates seven representative ML techniques, including k-means, k-nearest neighbors, naive bayes, support vector machine  , linear regression, classification tree, and deep neural network.",204,http://dl.acm.org/citation.cfm?id=2694358
221,Extreme Learning Machine for Multilayer Perceptron Tang Deng/2878d9936f494ed7d0c8aec47e9bcc5e51609f9a,"Computer Science, Medicine",1 April 2016,Extreme learning machine (ELM) is an emerging,745,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7103337
222,Dual Learning for Machine Translation He Xia/23b559b5ab27f2fca6f56c0a7b6478bcf69db509,Computer Science,1 November 2016,"We develop a dual- learning learning mechanism, which can enable an NMT system to automatically learn from unlabeled data through a dual",486,https://arxiv.org/pdf/1611.00179.pdf
223,Transfer Learning for Low Resource Neural Machine Zoph Yuret/1cd7f2c74bd7ffb3a8b1527bec8795d0876a40b6,Computer Science,1 April 2016,We present a transfer learning  method that significantly improves Bleu scores across a range of low-resource languages.,384,https://www.aclweb.org/anthology/D16-1163.pdf
224,Machine Learning Domingos/0664d5fa1b811b38066ab2ad91670c7e5d7c2673,Computer Science,2017,'s focus on ill-defined problems and highly flexible methods makes it ideally suited for knowledge discovery in databases (KDD). Machine learning ,,https://doi.org/10.1007/978-3-319-17885-1_100714
225,Communication Efficient Distributed Machine with Li Andersen/04ca5de59edbdd49a9c0502c58331524d220bc8c,Computer Science,8 December 2014,This paper describes a third-generation parameter server framework for distributed machine learning .,365,http://papers.nips.cc/paper/5597-communication-efficient-distributed-machine-learning-with-the-parameter-server
226,Machine learning for quantum mechanics in a Rupp/29b9ff8f4a26acc90e6182e1e749f15f688bc7cf,Computer Science,15 August 2015,"A hands-on tutorial introduces the reader to QM/ML models based on kernel learning  , an elegant, systematically nonlinear form of ML.",175,https://doi.org/10.1002/QUA.24954
227,The MNIST Database of Handwritten Digit Images for Deng/46f74231b9afeb0c290d6d550043c55045284e5f,Computer Science,18 October 2012,"In this issue, “Best of the Web” presents the modified National Institute of Standards and Technology (MNIST) resources, consisting of a collection of handwritten digit images used extensively in optical character recognition and machine learning research.",646,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6296535
228,An introduction to quantum machine learning Schuld Sinayskiy/85d2d4cb2ca1dcd9da2d5a765cc2aa4911b0a175,"Computer Science, Physics",10 September 2014,This paper gives a systematic overview of the emerging field of quantum machine learning and discusses the potential of a future theory of quantum,315,https://doi.org/10.1080/00107514.2014.964942
229,Hyperparameter Search in Machine Learning Claesen Moor/0173ca962e4ab3d084c89568345e06f67d3d7efc,"Computer Science, Mathematics",7 February 2015,We introduce the hyperparameter search problem in the field of machine learning and discuss its main challenges from an optimization perspective.,124,https://arxiv.org/pdf/1502.02127.pdf
230,Machine Teaching%3A An Inverse Problem to Machine and Zhu/f83ca18f3834d45a70e9b54578e2c33870dde67d,Computer Science,25 January 2015,"I draw the reader's attention to machine machine teaching, the problem of finding an optimal training set given a",153,http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9487
231,A survey of feature selection and feature in Khalid Khalil/bdb5f7fc1608dd80e2d3fdb1575cec2d3c074ad6,Computer Science,9 October 2014,"In this paper, some widely used feature selection and feature extraction techniques have analyzed with the purpose of how effectively these techniques can be used to achieve high performance of learning  algorithms that ultimately improves predictive accuracy of classifier.",290,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6918213
232,Big data classification%3A problems and challenges in Suthaharan/1be4e7a87c509d8647144f9e8fa66756fd289111,Computer Science,17 April 2014,This paper focuses on the specific problem of Big Data classification of network intrusion traffic.   ,263,http://dl.acm.org/citation.cfm?id=2627557
233,Faster and Better%3A A Machine Learning Approach to Rosten Porter/a5d3a937e5ee43ab1542657ea2baf0c5cb139d6e,"Computer Science, Medicine",14 October 2008,"We present a new heuristic for feature detection and, using machine learning , we derive a feature detector from this which can fully process live PAL video using less than 5 percent of the available processing time.",1497,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4674368
234,Structural Health Monitoring%3A A Machine Learning Farrar Worden/5888c776e38f39efb9b96d0ba2713981008a86b1,Computer Science,19 November 2012,This book focuses on structural health monitoring in the context of machine learning .,640,https://doi.org/10.1002/9781118443118
235,A survey of multi view machine learning Sun/3fdd37c3a30da1dd0e376889bf2bdddc637b0b34,Computer Science,17 February 2013,This paper reviews theories developed to understand the properties and behaviors of multi-view learning machine and gives a taxonomy of approaches according to the,565,https://doi.org/10.1007/s00521-013-1362-6
236,Fast and accurate modeling of molecular atomization Rupp Tkatchenko/df2a7756382540e92895f10703cec32d50c4f316,"Physics, Mathematics",12 September 2011,   ,827,https://www.ncbi.nlm.nih.gov/pubmed/22400967
237,Entanglement based machine learning on a quantum Cai Wu/416d306cb3d3612e5a05b79487a591ea586e03b5,"Computer Science, Medicine",27 September 2014,"We report the first experimental entanglement-based classification of two-, four-, and eight-dimensional vectors to different clusters using a small-scale photonic quantum computer, which are then used to implement supervised and unsupervised machine learning .",105,https://www.ncbi.nlm.nih.gov/pubmed/25839250
238,MLaaS%3A Machine Learning as a Service Ribeiro Grolinger/ed5ab1cff7dd3a902eea4a811b15aa5ea3a36b30,Computer Science,1 December 2015,This paper proposes an architecture to create a flexible and scalable machine learning as a service based on SCA and focusing on predictive modeling.,98,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7424435
239,Scikit learn%3A Machine Learning Without Learning the Varoquaux Buitinck/c162fb5f54dae3689908fe1b2615fa680172f9b5,Computer Science,1 June 2015,is a pervasive development at the intersection of statistics and computer science. Machine learning ,98,http://dl.acm.org/citation.cfm?id=2786995
240,Machine Learning The Art and Science of Algorithms Flach/06a81f63fc4ccfcf02934647a7c17454b91853b0,Computer Science,20 September 2012,"This book does justice to the field's incredible richness, but without losing sight of the unifying principles.   ",583,http://www.cambridge.org/de/academic/subjects/computer-science/pattern-recognition-and-machine-learning/machine-learning-art-and-science-algorithms-make-sense-data
241,Neural Networks in Machine Learning Parashar/5df0a0e9ceec70a9321b0555288222bf53216342,Computer Science,18 November 2014,is associated with the study and construction of systems that learn on their own rather than following instructions. Machine Learning ,207,
242,Distributed GraphLab%3A A Framework for Machine in Low Gonzalez/3bb6d5834bfb355553588e382ac5f9fa8a8d831d,Computer Science,1 April 2012,"In this paper, we extend the GraphLab framework to the substantially more challenging distributed setting while preserving strong data consistency guarantees.   ",574,https://arxiv.org/pdf/1204.6078.pdf
243,Machine learning methods in chemoinformatics Mitchell/b4adef6c659ab62943ce1e68db4d9409d2ce3878,"Computer Science, Medicine",24 February 2014,"We concentrate on methods for supervised learning  , predicting the unknown property values of a test set of instances, usually molecules, based on the known values for a training set.",215,https://doi.org/10.1002/wcms.1183
244,Dlib ml%3A A Machine Learning Toolkit King/2ea6a93199c9227fa0c1c7de13725f918c9be3a4,Computer Science,1 December 2009,"Dlib-ml is an open source library, targeted at both engineers and research scientists, which aims to provide a similarly rich environment for developing machine learning software in the C++ language.",1668,https://doi.org/10.1145/1577069.1755843
245,Kernel Methods and Machine Learning Kung/4efe53a9653d1481e50382a2c95bce6eb4f6de9d,Mathematics,23 June 2014,   ,176,https://pdfs.semanticscholar.org/34dd/3656cc0011774ded7762af377f2b926b66a1.pdf
246,How to represent crystal structures for machine of Schutt Glawe/3ced109e0c16014cf4cdd677aeb1b95acf1c35d6,"Computer Science, Physics",4 July 2013,We propose a novel crystal structure representation for which learning  and competitive prediction accuracies become possible within an unrestricted class of spd systems.,220,https://arxiv.org/pdf/1307.1266.pdf
247,Quantum Machine Learning%3A What Quantum Computing to Wittek/e8dccfb88a6524a67b6239f6b38a8fdaf15f6b39,Computer Science,10 September 2014,Quantum Machine Learning bridges the gap between abstract developments in quantum computing and the applied research on,152,
248,Deep learning in neural networks%3A An overview Schmidhuber/193edd20cae92c6759c18ce93eeea96afd9528eb,"Computer Science, Medicine",30 April 2014,"In recent years, deep artificial neural networks (including recurrent ones) have won numerous contests in pattern recognition and machine learning .",8741,https://www.ncbi.nlm.nih.gov/pubmed/25462637
249,Machine Learning%3A The High Interest Credit Card of Sculley Holt/51891710e30da33c4ced4ae7daee1593e0cb5cc4,Business,2014,   ,188,
250,Journal of Machine Learning Research%3A Preface Li Phung/b401747b5e93b99585f5fe367d34750a5d7da030,Computer Science,2014,   ,244,
251,Machine Learning%2C Neural and Statistical Michie Spiegelhalter/fad1bd501aa769f7701c1016f8a4d1473ca77601,Computer Science,28 August 2009,Survey of previous comparisons and theoretical work descriptions of methods dataset descriptions criteria for comparison and methodology (including validation) empirical results machine learning on,2523,https://doi.org/10.1080/00401706.1995.10484383
252,A study of the behavior of several methods for data Batista Prati/6aae0dc122102693e8136856ffc8b72df7f78386,Computer Science,1 June 2004,"We perform a broad experimental evaluation involving ten methods, three of them proposed by the authors, to deal with the class imbalance problem in thirteen UCI data sets.   ",1994,http://dl.acm.org/citation.cfm?id=1007735
253,Machine learning for aerial image labeling Hinton Mnih/6eabf6e67c29778265bc9fef3b58b2756c739c83,Engineering,2013,   ,282,
254,Data mining practical machine learning tools and Witten Frank/a73f4e905834f72ecd7e65c88aebebaea1153fd0,Computer Science,22 June 2005,"No magic in machine learning , no hidden power, no alchemy.",1888,
255,Support Vector Machine Active Learning with to Text Tong Koller/a8797f1d253c75669d96e6fcceda2be3f8534e1d,Computer Science,1 March 2002,We present a new algorithm that performs pool-based active learning machine with support vector,2896,https://doi.org/10.1162/153244302760185243
256,An Introduction to MCMC for Machine Learning Andrieu Freitas/596dac923657992a817d3d68ae83f2fba9cf1ab8,Computer Science,2004,"This paper introduces, among other ideas, Monte Carlo particle methods, which form the basis of modern sequential Monte Carlo methods.   ",2117,https://doi.org/10.1023/A%3A1020281327116
257,Quantum algorithms for supervised and unsupervised Lloyd Mohseni/9b0aa51901f05278928bdfcb4e9826a429a81293,"Mathematics, Physics",1 July 2013,   ,348,https://arxiv.org/pdf/1307.0411.pdf
258,MLbase%3A A Distributed Machine learning System Kraska Talwalkar/01e1fa7924b3eb76b73f1828c93805f3ba028bae,Computer Science,2013,"We present our vision for MLbase, a novel system harnessing the power of machine learning for both end-users and ML researchers.",298,http://cidrdb.org/cidr2013/Papers/CIDR13_Paper118.pdf
259,Pylearn2%3A a machine learning research library Goodfellow Warde Farley/2f7ad26514bce4df6c8ebc42c90383ef3a974df4,"Mathematics, Computer Science",19 August 2013,   ,290,https://arxiv.org/pdf/1308.4214.pdf
260,Machine learning classifiers and fMRI%3A A tutorial Pereira Mitchell/61017ac0c108f68c987a1fe3e4c2b6223ddd6f31,"Computer Science, Medicine",1 March 2009,In this tutorial overview we review some of the key choices faced in using this approach as well as how to derive statistically significant results from a case study.   ,1372,https://www.sciencedirect.com/science/article/pii/S1053811908012263?dgcid=api_sd_search-api-endpoint
261,Machine learning for targeted display advertising%3A Perlich Dalessandro/6aa8f8ae07a57a2025d6adc27a0bc53f6a7ee385,Computer Science,1 April 2014,"This paper presents the design of a fully deployed multistage transfer learning  system for targeted display advertising, highlighting the important role of problem formulation and the sampling of data from distributions different from that of the target environment.",119,https://doi.org/10.1007/s10994-013-5375-2
262,Google's Neural Machine Translation System%3A the Gap Wu Schuster/dbde7dfa6cae81df8ac19ef500c42db96c3d1edd,Computer Science,26 September 2016,Neural Machine learning Translation (NMT) is an end-to-end,3348,https://arxiv.org/pdf/1609.08144.pdf
263,Genetic Algorithms and Machine Learning Goldberg Holland/c61134ada9f0e3f3373d635c31a8b3caa37f9977,Computer Science,1 October 1988,There is no a priori reason why machine learning must borrow from nature.,2234,https://doi.org/10.1023/A%3A1022602019183
264,Machine Learning%2C a Probabilistic Perspective Robert/a43e61f7900c64e7f3bf18ef7ff5770295149b37,Computer Science,3 April 2014,The chapter on Bayesian inference does not spend much time on prior specification.   ,135,https://doi.org/10.1080/09332480.2014.914768
265,Factorizing YAGO%3A scalable machine learning for Nickel Tresp/498ca0a1f8c980586408addf7ab2919ecdb7dd3d,Computer Science,16 April 2012,"We present an efficient approach to relational learning  on LOD data, based on the factorization of a sparse tensor that scales to data consisting of millions of entities, hundreds of relations and billions of known facts.",340,http://dl.acm.org/citation.cfm?id=2187874
266,Extreme learning machine%3A a new learning scheme of Huang Zhu/2b9c0e4d1d473aadbe1c2a76f75bc02bfa6416b0,Computer Science,25 July 2004,This paper proposes a new learning learning algorithm called extreme,2898,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1380068
267,Representation Learning%3A A Review and New Bengio Courville/184ac0766262312ba76bbdece4e7ffad0aa8180b,"Computer Science, Mathematics",24 June 2012,This paper reviews recent work in the area of unsupervised feature learning learning and deep,6943,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6472238
268,Assessment and Validation of Machine Learning for Hansen Montavon/0d39cc42f2186dac99898121bbc8bb2b965ba93d,"Computer Science, Medicine",30 July 2013,We use machine learning techniques to predict atomization energies of molecules in their ground-state equilibrium geometry.,324,https://www.ncbi.nlm.nih.gov/pubmed/26584096
269,Lifelong Machine Learning Systems%3A Beyond Learning Silver Yang/5776d0fea69d826519ee3649f620e8755a490efe,Computer Science,15 March 2013,We propose that it is now appropriate for the AI community to move beyond learning learning algorithms to more seriously consider the nature of systems capable of,244,http://www.aaai.org/ocs/index.php/SSS/SSS13/paper/view/5802
270,Machine Learning with R Lantz/5e934c4d76b3c664149f7970ec11c3c8cabab91e,Computer Science,25 October 2013,Learn how to use R to apply powerful machine learning methods and gain an insight into real-world applications Overview Harness the power of R for statistical computing and data science Use R toapply common,232,https://doi.org/10.1002/9781119642183.ch14
271,Machine Learning Paradigms for Speech Recognition%3A Deng Li/bc745811e231d1b4e37d2c56cbd2d67e37ba9032,Computer Science,1 May 2013,"Automatic Speech Recognition (ASR) has historically been a driving force behind many machine learning (ML) techniques, including the ubiquitously used hidden Markov model, discriminative",245,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6423821
272,Machine learning in cell biology %E2%80%93 teaching to Sommer Gerlich/b90d44f59fcb74c71d3e31f67a3f09efab187a4e,"Biology, Medicine",15 December 2013,   ,219,https://doi.org/10.1242/jcs.123604
273,Data Mining%3A Practical Machine Learning Tools and Witten Frank/0fa45cfa88ee9ac93cb01ec159ad8713d0e32d93,Computer Science,5 August 2014,Data Mining: Practical Machine Learning Tools and Techniques offers a thorough grounding in,576,
274,Machine learning for science and society Rudin Wagstaff/8ed390c98912ab8d27a398ab583d358c5a41fee9,Computer Science,1 November 2013,The special issue on “ Machine Learning for Science and Society” showcases,61,https://doi.org/10.1007/s10994-013-5425-9
275,Sentiment analysis in twitter using machine Neethu Rajasree/64ad89855f829d0587e0f77d1be52030616c67cb,Computer Science,4 July 2013,"We present a new feature vector for classifying the tweets as positive, negative and extract peoples' opinion about products.   ",216,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6726818
276,From machine learning to machine reasoning Bottou/cb7853c5d609081ea12cd4db3863a87da2d51808,Computer Science,9 February 2011,A plausible definition of “reasoning” could be “algebraically manipulating previously acquired knowledge in order to answer a new question”.   ,171,https://doi.org/10.1007/s10994-013-5335-x
277,Ensemble Machine Learning%3A Methods and Applications Zhang Ma/c0f7fcc2e03be4395625b6757b17b8834632b952,Computer Science,17 February 2012,"State-of-the-art ensemble learning  algorithms, including the random forest skeleton tracking algorithm in the Xbox Kinect, which bypasses the need for game controllers.",340,
278,Diffuse large B cell lymphoma outcome prediction by Shipp Ross/373f58aa40b174e828d931395253905f724ce799,Medicine,2002,   ,2285,https://doi.org/10.1038/nm0102-68
279,Machine learning and radiology Wang Summers/222c68fc80b05064680ddc467243b620604fd11e,"Computer Science, Medicine",1 July 2012,"In this paper, we give a short introduction to machine learning and survey its applications in radiology.",357,https://www.ncbi.nlm.nih.gov/pubmed/22465077
280,ML Confidential%3A Machine Learning on Encrypted Data Graepel Lauter/fc2057499fcc5dfe61316f1722db7837971a9c94,Computer Science,28 November 2012,"We demonstrate that, by using a recently proposed leveled homomorphic encryption scheme, it is possible to delegate the execution of a machine learning algorithm to a computing service while retaining confidentiality of the training and test data.",323,https://doi.org/10.1007/978-3-642-37682-5_1
281,MLI%3A An API for Distributed Machine Learning Sparks Talwalkar/d480f90ec1d48309850c1b92b2053990a60522a8,"Computer Science, Mathematics",20 October 2013,"We present MLI, an Application Programming Interface for building scalable distributed machine learning algorithms in a distributed setting based on data-centric computing.",177,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6729619
282,A Survey on Machine Learning Techniques in Radios Bkassiny Li/73b51b02a061e2eae2eebe2ceae45872ea7d509d,Computer Science,23 January 2013,"In this survey paper, we characterize the learning  problem in cognitive radios (CRs) and state the importance of artificial intelligence in achieving real cognitive communications systems.",353,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6336689
283,Automatic analysis of malware behavior using Rieck Trinius/3c8bf504ddc7db1829466b6e9da5251025dd48f1,Computer Science,1 December 2011,"We propose an incremental approach for behavior-based analysis, capable of processing the behavior of thousands of malware binaries on a daily basis.   ",576,https://doi.org/10.3233/JCS-2010-0410
284,Model based machine learning Bishop/5fb8ba2e3967e079c57aa703bf216c168ea8104f,"Computer Science, Medicine",13 February 2013,"We describe an alternative methodology for applying machine learning , in which a bespoke solution is formulated for each new application.",119,https://doi.org/10.1098/rsta.2012.0222
285,Machine learning an artificial intelligence Michalski Anderson/b6df5c2ac2f91d71b1d08d76135e2a470ac1ad1e,Computer Science,1 October 1982,This book contains tutorial overviews and research papers on contemporary trends in the area of machine learning viewed from an AI perspective.,2731,https://www.worldcat.org/oclc/21169134
286,Distributed Optimization and Statistical Learning Boyd Parikh/a35d565e8f70cb6ddc09a65904a72622e16b9485,Computer Science,23 May 2011,"The alternating direction method of multipliers is well suited to distributed convex optimization, and in particular to large-scale problems arising in statistics, machine learning , and related areas.",11977,https://doi.org/10.1561/2200000016
287,Accelerating materials property predictions using Pilania Wang/92a314bf9ae817836389cc97af5a9f42c561a772,"Computer Science, Medicine",30 September 2013,We show that efficient and accurate prediction of a diverse set of properties of material systems is possible by employing machine learning (or statistical),326,https://www.ncbi.nlm.nih.gov/pubmed/24077117
288,A Machine Learning Approach to Android Malware Sahs Khan/28d82be56e54df4b28a17908de17480d699e1409,Computer Science,22 August 2012,We present a machine learning -based malware detection system for the detection of malware on Android devices.,274,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6298824
289,Deploying an interactive machine learning system in Wallace Small/d2972fa779c91162f447d1e15540fba0df4cb547,Computer Science,28 January 2012,"We develop abstrackr, an online tool for the task of citation screening for systematic reviews.   ",232,http://dl.acm.org/citation.cfm?id=2110464
290,Machine Learning in Non Stationary Environments to Sugiyama Kawanabe/d837267b364b4dc97bb35facda235a19be5ed374,Computer Science,30 March 2012,"This book focuses on a specific non-stationary environment known as covariate shift, in which the distributions of inputs (queries) change but the conditional distribution of outputs (answers) is unchanged, and presents machine learning theory, algorithms, and applications to overcome this variety ofnon-stationarity.",251,http://mitpress.mit.edu/books/machine-learning-non-stationary-environments
291,Learning scikit learn%3A Machine Learning in Python Garreta Moncecchi/a19a69cdb137e83ba4b8d5c99d187b9f44bbc2d3,Computer Science,25 November 2013,"This book combines an introduction to some of the main concepts and methods in machine learning with practical, hands-on examples of real-world problems using Python and the open source scikit-learn library.",105,
292,Finding Density Functionals with Machine Learning Snyder Rupp/6c10262a5d4230c7c85fbe528b8bbd9444116bca,"Mathematics, Medicine",22 December 2011,   ,296,https://www.ncbi.nlm.nih.gov/pubmed/23004593
293,Optimization for Machine Learning Sra Nowozin/d2b7da2775b8a65034faaa5b1486e5062f827505,Computer Science,2013,The interplay between optimization and machine learning is one of the most important developments in modern computational science.,125,
294,Machine Learning in Medical Imaging Suzuki Yan/9105a8c02778847bfe0f1c1f95e5e0877c8c2730,Computer Science,2012,"In this paper, we propose a hierarchical ensemble classification algorithm to gradually combine the features and decisions into a unified model for more accurate classification.   ",374,https://doi.org/10.1007/978-3-642-35428-1
295,Making machine learning models interpretable Vellido Mart%C3%ADn Guerrero/ce0b8b6fca7dc089548cc2e9aaac3bae82bb19da,Computer Science,2012,"This paper is a brief introduction to the special session on interpretable models in machine learning , organized as part of the 20 th European Symposium on Artificial Neural Networks, Computational In- telligence and",241,https://www.elen.ucl.ac.be/Proceedings/esann/esannpdf/es2012-7.pdf
296,Machine Learning Strategies for Time Series Bontempi Taieb/99a39ea1b9bf4e3afc422329c1d4d77446f060b8,Computer Science,2012,This chapter presents an overview of machine learning techniques in time series forecasting by focusing on three aspects: the formalization of one-step forecasting problems as supervised,202,https://doi.org/10.1007/978-3-642-36318-4_3
297,Machine Learning that Matters Wagstaff/7fe7e80bf59a112386211b38ef2ea0b71ae76345,"Computer Science, Mathematics",18 June 2012,This paper argues for a change in how we view the relationship between machine learning and science (and the rest of society).,164,https://arxiv.org/pdf/1206.4656.pdf
298,Large scale machine learning at twitter Lin Kolcz/9ead7583542e55c84bb9b90260ffde7a70c88e8d,Computer Science,20 May 2012,"This paper presents a case study of Twitter's integration of machine learning tools into its existing Hadoop-based, Pig-centric analytics platform.",178,http://dl.acm.org/citation.cfm?id=2213958
299,Machine Learning for the New York City Power Grid Rudin Waltz/58209c6db7b321ea7c75395b23ddb5100cd9bf81,"Computer Science, Medicine",1 February 2012,We introduce a general process for transforming historical electrical grid data into models that aim to predict the risk of failures for components and systems.   ,177,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5770269
300,Support vector machine learning for interdependent Tsochantaridis Hofmann/93aa298b40bb3ec23c25239089284fdf61ded917,Computer Science,4 July 2004,We generalize multiclass Support Vector Machine learning in a formulation that involves features extracted jointly from inputs and outputs.,1424,http://dl.acm.org/citation.cfm?id=1015341
301,Advances in Machine Learning and Data Mining for Way Scargle/3a73fa8758fe8072f5d8d412b9fdc52e04b3da9d,Computer Science,29 March 2012,"Advances in Machine Learning and Data Mining for Astronomy documents numerous successful collaborations among computer scientists, statisticians, and astronomers who illustrate the application of state-of-the-art",146,https://doi.org/10.1201/B11822
302,Outside the Closed World%3A On Using Machine Learning Sommer Paxson/8346b9a8e156d6e7a7012bcd47bc4f5d4be59e92,Computer Science,16 May 2010,"In network intrusion detection research, one popular strategy for finding attacks is monitoring a network's activity for anomalies: deviations from profiles of normality previously learned from benign traffic, typically identified using tools borrowed from the machine learning community.",1082,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5504793
303,Ensemble Machine Learning Zhang Ma/1ee7be29ce297de6d79a438d26037595967f5b17,Computer Science,2012,   ,230,https://doi.org/10.1007/978-1-4419-9326-7
304,Genetic Algorithms in Search%2C Optimization %26 Goldberg/ccf73e723d8308f28a98cb435dfb585581f59e2c,Computer Science,1989,   ,2213,
305,Non Asymptotic Analysis of Stochastic Approximation Bach Moulines/7658cecad68afc970f18cadbf6390439b17def87,"Computer Science, Mathematics",12 December 2011,"We provide a non-asymptotic analysis of the convergence of two well-known algorithms, stochastic gradient descent (a.k.a. Robbins-Monro algorithm) as well as a simple modification where iterates are averaged (a Polyak-Ruppert averaging).   ",478,http://papers.nips.cc/paper/4316-non-asymptotic-analysis-of-stochastic-approximation-algorithms-for-machine-learning
306,A Machine Learning Approach to Twitter User Pennacchiotti Popescu/0148bbc80ea2f2526ab019a317639b4fb357f399,Computer Science,5 July 2011,"We automatically infer the values of user attributes such as political orientation or ethnicity by leveraging observable information such as the user behavior, network structure and the linguistic content of the user’s Twitter feed.   ",526,http://www.aaai.org/ocs/index.php/ICWSM/ICWSM11/paper/view/2886
307,ADADELTA%3A An Adaptive Learning Rate Method Zeiler/8729441d734782c3ed532a7d2d9611b438c0a09a,Computer Science,22 December 2012,We present a novel per-dimension learning  rate method for gradient descent called ADADELTA.,4573,https://arxiv.org/pdf/1212.5701.pdf
308,Adversarial Machine Learning Tygar/e24b8a9531573d284647239affc6c855505b0de4,Computer Science,1 September 2011,"The author briefly introduces the emerging field of adversarial machine learning , in which opponents can cause traditional",532,https://doi.org/10.1109/MIC.2011.112
309,Introduction to machine learning for brain imaging Lemm Blankertz/edb4643a71d734543fa4ae3cdf7a89177c5e9ebe,"Computer Science, Medicine",15 May 2011,"and pattern recognition algorithms have in the past years developed to become a working horse in brain imaging and the neurosciences, as they are instrumental for mining vast amounts of neural data of ever increasing measurement precision and detecting minuscule signals from an overwhelming noise floor. Machine learning ",521,https://www.sciencedirect.com/science/article/pii/S1053811910014163?dgcid=api_sd_search-api-endpoint
310,Correlation based Feature Selection for Discrete Hall/a15067563a18378dac71a206c6cc2e2d8c871301,Computer Science,1 April 1999,"This paper describes a fast, correlation-based filter algorithm that can be applied to continuous and discrete problems.   ",1714,
311,Deep Machine Learning A New Frontier in Artificial Arel Rose/ea58af907495e97c93997119db4a59fab5cd3683,Computer Science,1 November 2010,This article provides an overview of the mainstream deep learning  approaches and research directions proposed over the past decade.,858,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5605630
312,Weighted extreme learning machine for imbalance Zong Huang/91a613ed06c4654f38f5c2e7fe6ebffeec53d887,Computer Science,1 February 2013,"We propose a weighted ELM for ‘generalized’ SLFNs, which is able to generalize to balanced data.   ",458,https://doi.org/10.1016/j.neucom.2012.08.010
313,A survey of techniques for internet traffic using Nguyen Armitage/7da323e7103245eeaed32367c46abe3f4913df86,Computer Science,1 October 2008,"The research community has begun looking for IP traffic classification techniques that do not rely on `well known¿ TCP or UDP port numbers, or interpreting the contents of packet payloads.   ",1277,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4738466
